ID,Mathmatics,Science,English,Japanese,History,Geography
A0001,45,46,59,68,88,76
A0002,51,65,59,86,64,48
A0003,79,82,74,60,73,55
A0004,65,57,89,70,82,55
A0005,46,42,70,62,86,92
A0006,82,97,66,57,76,54
A0007,33,45,60,71,90,78
A0008,63,73,79,85,89,71
A0009,46,48,73,66,97,66
A0010,31,43,42,45,53,39
A0011,69,71,94,96,90,72
A0012,40,50,77,71,93,66
A0013,58,65,68,79,83,50
A0014,38,53,66,66,97,63
A0015,95,96,69,53,69,47
A0016,75,96,65,59,77,48
A0017,77,87,94,91,98,77
A0018,41,39,62,65,91,77
A0019,45,48,60,68,100,72
A0020,73,85,73,54,83,45
A0021,24,44,41,43,55,40
A0022,58,76,91,100,100,74
A0023,48,74,76,72,66,43
A0024,90,98,99,77,92,99
A0025,68,60,82,94,89,65
A0026,87,94,64,60,65,46
A0027,55,60,86,74,93,73
A0028,30,43,46,41,58,40
A0029,54,65,88,94,99,97
A0030,83,100,61,47,85,46
A0031,59,56,89,97,96,79
A0032,30,37,40,0,56,38
A0033,47,75,63,73,67,59
A0034,68,75,95,78,88,66
A0035,63,70,96,72,88,71
A0036,71,75,80,69,71,52
A0037,44,54,68,67,97,71
A0038,66,67,91,86,87,67
A0039,80,84,71,58,80,56
A0040,74,81,77,61,70,57
A0041,67,80,92,76,89,64
A0042,56,64,61,99,62,53
A0043,65,97,55,56,66,44
A0044,76,71,51,50,74,33
A0045,51,58,99,94,100,81
A0046,34,47,63,62,90,74
A0047,68,63,83,69,81,57
A0048,49,57,87,72,100,74
A0049,50,67,93,73,96,80
A0050,73,92,76,51,80,48
A0051,29,35,0,40,57,42
A0052,60,66,82,69,69,49
A0053,47,61,76,95,82,50
A0054,72,77,90,97,91,72
A0055,66,100,54,55,84,47
A0056,67,70,98,68,78,46
A0057,51,67,61,88,72,44
A0058,49,65,79,92,99,74
A0059,64,59,93,70,63,49
A0060,51,70,77,74,82,58
A0061,48,72,84,79,98,89
A0062,50,77,91,97,99,82
A0063,62,62,96,84,86,68
A0064,22,36,46,39,59,41
A0065,54,66,82,98,95,73
A0066,38,36,75,70,90,81
A0067,63,93,51,55,77,51
A0068,77,99,66,54,68,53
A0069,71,69,87,74,91,61
A0070,67,64,83,81,87,67
A0071,32,0,67,64,91,76
A0072,62,85,48,53,75,49
A0073,54,79,90,90,95,73
A0074,41,49,71,63,98,62
A0075,61,80,81,64,85,48
A0076,50,68,92,87,94,87
A0077,25,41,44,42,59,37
A0078,70,73,80,71,75,54
A0079,61,61,94,68,79,46
A0080,96,60,54,59,72,42
A0081,59,72,63,82,85,55
A0082,28,0,45,42,61,35
A0083,74,92,57,58,64,59
A0084,49,67,65,77,83,56
A0085,52,79,62,91,69,58
A0086,35,40,70,70,86,84
A0087,60,76,87,82,87,62
A0088,64,63,85,65,63,52
A0089,65,86,52,46,74,50
A0090,39,49,58,65,92,68
A0091,70,76,79,67,80,54
A0092,71,88,48,57,79,44
A0093,89,84,58,49,74,53
A0094,75,95,79,89,99,88
A0095,81,91,67,52,79,51
A0096,72,61,78,95,90,69
A0097,57,58,58,92,65,47
A0098,76,82,97,74,95,85
A0099,53,78,95,71,93,76
A0100,55,56,75,73,71,51
A0101,56,66,78,98,61,43
A0102,67,73,88,90,89,63
A0103,76,64,53,61,63,42
A0104,36,51,75,66,98,65
A0105,69,74,85,83,88,68
A0106,43,52,69,62,95,64
A0107,98,99,84,89,93,75
A0108,81,88,100,93,100,75
A0109,35,51,64,64,92,61
A0110,33,46,67,63,89,75
A0111,54,62,72,72,77,45
A0112,79,65,57,48,67,41
A0113,69,94,52,54,71,58
A0114,52,79,63,76,79,55
A0115,91,91,65,56,84,45
A0116,62,56,80,75,92,65
A0117,44,38,78,67,88,83
A0118,46,53,74,68,94,63
A0119,72,55,95,63,72,60
A0120,57,68,81,93,93,95
A0121,56,80,85,73,96,78
A0122,70,83,53,57,68,59
A0123,84,63,52,50,85,0
A0124,100,62,49,52,81,39
A0125,42,40,67,67,91,73
A0126,42,54,78,66,94,69
A0127,0,38,38,44,57,0
A0128,47,59,60,80,85,52
A0129,57,78,69,88,86,57
A0130,69,81,56,51,70,61
A0131,37,52,72,69,99,69
A0132,72,95,56,50,68,50
A0133,93,61,49,52,84,38
A0134,53,71,57,99,73,43
A0135,65,69,99,78,90,70
A0136,60,58,81,74,97,76
A0137,52,68,64,100,62,60
A0138,59,69,74,77,83,56
A0139,85,97,86,76,98,78
A0140,64,89,55,47,82,53
A0141,70,55,98,75,86,70
A0142,78,78,50,49,76,41
A0143,40,44,76,70,87,93
A0144,59,66,71,84,78,44
A0145,26,47,47,45,60,36
A0146,74,98,92,89,96,91
A0147,29,42,47,43,60,36
A0148,61,90,55,60,75,52
A0149,55,64,83,85,97,80
A0150,36,53,73,64,94,64